254 -254.5 195.0
255 -158.0 113.0
256 -247.5 194.0
257 -246.5 189.0
258 -242.0 182.0
259 -241.0 178.0
260 -161.0 116.0
261 -198.0 139.0
262 -210.0 147.0
263 -165.0 114.0
264 -160.0 110.0
265 -209.5 147.0
266 -229.5 163.0
267 -199.0 141.0
268 -246.0 188.0
269 -240.5 179.0
270 -200.5 145.0
271 -158.0 114.0
272 -164.5 117.0
273 -200.5 145.0
274 -161.0 113.0
275 -166.0 116.0
276 -210.0 151.0
277 -157.5 112.0
278 -241.5 178.0
279 -156.5 111.0
280 -195.0 137.0
281 -165.0 115.0
282 -160.0 114.0
283 -248.0 180.0
284 -211.0 154.0
285 -193.0 138.0
286 -157.0 112.0
287 -157.0 112.0
288 -160.0 113.0
289 -203.0 144.0
290 -228.5 164.0
291 -215.5 157.0
292 -157.0 112.0
293 -187.5 133.0
294 -204.0 151.0
295 -157.5 112.0
296 -159.0 112.0
297 -157.0 111.0
298 -154.0 110.0
299 -198.0 144.0
300 -172.5 123.0
301 -161.0 114.0
302 -204.5 147.0
303 -196.0 140.0
304 -201.5 144.0
305 -158.0 112.0
306 -195.0 140.0
307 -158.0 112.0
308 -158.5 113.0
309 -197.5 141.0
310 -170.5 121.0
311 -197.0 141.0
312 -194.0 139.0
313 -158.0 112.0
314 -198.5 141.0
315 -173.0 122.0
316 -205.5 147.0
317 -231.0 165.0
318 -158.0 112.0
319 -160.5 113.0
320 -171.0 121.0
321 -158.0 113.0
322 -164.0 116.0
323 -159.5 113.0
324 -248.0 188.0
325 -158.0 112.0
326 -159.5 112.0
327 -160.5 113.0
328 -205.0 147.0
329 -160.0 113.0
330 -198.0 142.0
331 -159.0 112.0
332 -192.5 139.0
333 -229.0 166.0
334 -164.5 115.0
335 -194.5 140.0
336 -162.5 115.0
337 -195.0 139.0
338 -160.5 115.0
339 -196.0 141.0
340 -198.0 140.0
341 -173.0 120.0
342 -160.5 113.0
343 -193.5 139.0
344 -197.0 140.0
345 -194.0 139.0
346 -159.0 113.0
347 -225.0 160.0
348 -193.5 139.0
349 -188.5 131.0
350 -189.5 135.0
351 -224.5 161.0
352 -169.0 117.0
353 -195.0 141.0
354 -159.0 113.0
355 -199.0 141.0
356 -205.0 145.0
357 -195.0 140.0
358 -195.0 138.0
359 -159.0 113.0
360 -191.0 136.0
361 -194.0 141.0
362 -195.0 141.0
363 -194.0 140.0
364 -205.0 145.0
365 -205.0 145.0
